일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),최고 해면기압(hPa),최저 해면기압(hPa),평균 해면기압(hPa),평균 지면온도(°C)
2020-04-15,13.2,7.2,20.2,5.6,2.2,25,39.8,1017.1,1012.5,1014.9,17.5
2020-04-16,16,8.9,23.8,4.5,2.3,23,39.9,1018.7,1013.3,1016.2,20.1
2020-04-17,12.5,10.4,15.4,4.8,2.4,45,77.8,1016.4,1010.3,1012.5,12.1
2020-04-18,13.5,8.5,19.6,4.8,2.6,44,67.9,1019.2,1011.6,1016.1,18.1
2020-04-19,12.3,9.5,15.5,5.2,2.7,51,75.8,1018.8,1010.3,1014.4,12.5
2020-04-20,10,7.6,13.1,6.8,3.3,56,73,1013.9,1009,1010.9,10.2
2020-04-21,7.4,4.8,10.4,8.9,4.4,29,49,1017.2,1012.7,1014.3,12.2
2020-04-22,6,4.1,8.3,6.4,4,35,46.8,1018.1,1015.2,1016.5,9.8
2020-04-23,7.9,2.9,12.8,7.9,3.7,28,47.8,1018.1,1013.4,1016,12.7
2020-04-24,9.9,4.1,14.3,8.2,3.9,29,55.6,1016.6,1011.4,1013.4,14.5
2020-04-25,13.1,9.9,17.1,7.8,3.9,45,54.4,1013.8,1007.2,1009.5,15.7
2020-04-26,12.3,6.8,19,6.5,3.2,20,43.1,1020,1013.8,1017.2,18.3
2020-04-27,12.9,8.7,18.3,5.5,2.8,25,49.8,1021,1017.9,1019.6,17.1
2020-04-28,13.9,7.8,19.9,5.5,3,26,50,1022.1,1017.3,1019.6,20.1
2020-04-29,14.9,9.3,21,5.2,2.6,25,48.6,1020.9,1017.8,1019.2,21.1
2020-04-30,17.1,9.3,23.4,5.9,2.7,41,57.1,1018.9,1012.2,1015.8,23
2020-05-01,20.2,16.4,26.2,5.5,2.7,54,73.6,1014.3,1010.6,1012.9,25.7
2020-05-02,20.3,18,23.9,4.6,2.3,62,79.6,1013.6,1008.3,1011.2,22.7
2020-05-03,21.8,17,27.4,3.9,2,46,68.8,1008.5,1003,1005.8,26.7
2020-05-04,20.2,14.8,25.3,4.6,2.7,44,63.9,1011,1005,1008,28.9
2020-05-05,16,13.1,19.3,5.3,1.9,54,67.9,1013.5,1010.5,1011.6,17.1
2020-05-06,19.4,11.1,27.6,4.4,2.1,19,50,1015.7,1010.7,1013.7,26.5
2020-05-07,20.7,14.9,26.5,4.3,2.5,20,32.5,1018.8,1015.3,1017.1,25.7
2020-05-08,19.9,14.3,27.3,4.5,2.4,11,32.8,1016.9,1011.9,1014.4,27.3
2020-05-09,14.2,12.7,16.8,5.9,3.6,76,94.4,1013.9,1001.6,1004.9,15.1
2020-05-10,14.4,12.8,16.6,4.1,2.5,78,88.6,1010.1,1004.3,1007.1,15.7
2020-05-11,16.5,12.4,22,5.6,3,27,61,1009.9,1005.3,1007.8,20.2
2020-05-12,14.3,10.5,18.9,5.4,2.9,47,69.4,1011,1002.7,1005.2,17.6
2020-05-13,16.1,10.2,21.8,6.5,2.8,24,47.3,1017.8,1011.1,1015.3,20.5
2020-05-14,19.3,12.4,25.4,4.3,2,20,35.4,1018.9,1012.7,1016,21.8
2020-05-15,16.1,14.1,20.2,5.3,3,34,81.4,1013.6,1005.8,1008.8,15.9
2020-05-16,16.7,15,20.3,3.3,1.6,74,90.3,1008.2,1005,1006.7,18.3
2020-05-17,19.1,14.6,24.9,4.3,1.7,58,80.1,1007.8,1002.9,1005.2,21.2
2020-05-18,19.1,13.2,26.8,7.2,2.4,46,79.4,1003.8,992,998.2,21.6
2020-05-19,13,10.1,17.1,7.2,3.2,52,73.6,1008.5,996.9,1000.8,16.1
2020-05-20,14.4,9.2,20.1,3,1.9,46,60.4,1014.7,1008.5,1011.8,17.3
2020-05-21,17.4,10.9,22.9,3.3,2.1,40,56.1,1016.4,1012.5,1014.5,20.5
2020-05-22,18.5,14.8,22.7,4.9,1.9,55,68.5,1015.1,1009.8,1012.7,20
2020-05-23,20.1,16.6,25,4.7,2.2,44,66.1,1012.3,1008.8,1011,23.3
2020-05-24,17.1,14.3,20.2,6.5,2.9,70,84.8,1012.8,1006.1,1009.6,19
2020-05-25,16.6,13.7,21.3,3.8,2.1,62,81,1013.8,1010.6,1012.3,20.3
2020-05-26,16.2,12.7,22.9,5.4,2.1,47,81.9,1012.4,1007.2,1009.5,19.2
2020-05-27,17.4,11.8,23.9,5.9,2.6,31,68.5,1011,1007.7,1009.3,21.4
2020-05-28,18.7,14.2,23.4,3.9,1.9,38,62.8,1012.2,1008.3,1009.6,20.5
2020-05-29,20.7,14.6,27.6,4.1,2,38,65.6,1016.9,1012.2,1014.8,24.3
